التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2024-03-25,1,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2024-06-25,2,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2024-06-27,3,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,100,نعم
2024-08-08,4,,1300000064997,حب بشيك من الحساب / كريم سيد جودة 1300000064997,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,15400,نعم
2024-08-08,5,,1300000064998,حب بشيك من الحساب / كريم سيد جودة 1300000064998,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,1000,نعم
2024-08-20,6,,T4959-8200,إيداع نقدي/أحمد جابر حسين T4959-8200,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,47390,نعم
2024-08-19,7,,1300000064999,ب بشيك من الحساب/احمد جابر حسين 1300000064999,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,69708,نعم
2024-09-01,8,,U16023-5800,إيداع نقدي/أحمد جابر حسين U16023-5800,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,6480,نعم
2024-08-29,9,,1300000065000,ب بشيك من الحساب/احمد جابر حسين 1300000065000,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,9000,نعم
2024-09-25,10,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2024-12-25,11,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2024-12-31,12,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,100,نعم
