التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2022-01-02,1,65718348,,احمد هشام السيد على الطحان عهدة شراء هدايا لمحافظات شمال الدلتا,مدينون متنوعون,بنك مصر,15000,
2022-01-02,2,65718349,,طارق سيد على خلاف على خلاف عهدة للسيارة ماركة توسان رقم 564,مدينون متنوعون,بنك مصر,4500,
2022-01-02,3,65718350,,كريم ابراهيم عبد الحميد عهده شراء ادوات نظافة ومشروبات,مدينون متنوعون,بنك مصر,5000,
2022-01-02,4,65718351,,كريم ابراهيم عبد الحميد عهده شراء مطهرات ومستلزمات طبيه,مدينون متنوعون,بنك مصر,5000,
2022-01-02,5,65718352,,طارق ابراهيم سليمان عهده صرف مصيف جمصه,مدينون متنوعون,بنك مصر,15000,
2022-01-02,6,65718353,,هشام مصطفى محمد عبد المعطى عبد المعطى عهدة شحن عداات كهرباء وغاز ومياة مصيف مطروح,مدينون متنوعون,بنك مصر,30000,
2022-01-02,7,65718354,,حمدى احمد محمد ناجى مصروفات مكتب شئون العضوية بمنوف عن شهرى اكتوبر وديسمبر 2021,مدينون متنوعون,بنك مصر,2200,
2022-01-02,8,65718356,,هانى محمد عبد الله اعانة,اعانات اجتماعية,بنك مصر,200,
2022-01-03,9,65718357,,هانى عبد الفتاح محمد عبد المللك محمد عهده للصرف على احتياجات عمارة المعادى,مدينون متنوعون,بنك مصر,2000,
2022-01-03,10,65718358,,هانى عبد الفتاح محمد عبد المللك محمد عهده لشراء خامات ولوازم طباعه الكارنيهات,مدينون متنوعون,بنك مصر,3000,
2022-01-03,11,65718359,,عاطف ابا زيد مرسى عهده مصروفات ادارية,مدينون متنوعون,بنك مصر,5000,
2022-01-03,12,65718360,,محمد محمد حسن عهده مرور على بعض اللجان المهنية بالبحيرة وكفر الشيخ,مدينون متنوعون,بنك مصر,3000,
2022-01-03,13,65718361,,محمد محمد حسن عهده مجمع اللجان بالاسكندرية,مدينون متنوعون,بنك مصر,500,
2022-01-03,14,65718362,,حنان عاطف محمود طاهر عهده مصروفات العلاج الادوية,مدينون متنوعون,بنك مصر,2500,
2022-01-03,15,65718363,,سمير السيد أحمد احمد بدل عمل يوم السبت لبعض الزملاء,مكافأت وبدل العمل أيام الاجازات الرسمية,بنك مصر,500,
2022-01-03,16,65718364,,محمد مصطفى رمضان عهده مكتب دمنهور اعانات ومكافات العاملين ومصروفات المكتب,مدينون متنوعون,بنك مصر,5000,
2022-01-03,17,65718365,,اسماء عبد المنعم فراج فراج عهده مصروفات مكتب شئون العضوية بالمنيا,مدينون متنوعون,بنك مصر,5000,
2022-01-03,18,65718366,,اسماء عبد المنعم فراج فراج عهده لشراء اداوات مكتبية مكتب شئون العضوية بالمنيا,مدينون متنوعون,بنك مصر,5000,
2022-01-03,19,65718367,,ايمن احمد مصطفى سلام مصطفى عهده مكتب شئون العضوية بشربين,مدينون متنوعون,بنك مصر,5000,
2022-01-03,20,65718368,,جيهان موسى محمد الشجاعى محمد السجاعى محمد عهده للجنة المهنية للبناء والاخشاب بمنيا القمح,مدينون متنوعون,بنك مصر,5000,
2022-01-03,21,65718369,,ابراهيم محمد محمود غلوش عهده اللجنة المهنية للبناء والاخشاب بطنطا,مدينون متنوعون,بنك مصر,2000,
2022-01-03,22,65718370,,عبد الحميد حسن عبد العزيز الخولى عهده اللجنة المهنية للبناء والاخشاب ببورسعيد,مدينون متنوعون,بنك مصر,3000,
2022-01-03,23,65718371,,نجوى ابراهيم عبده على عهده اللجنة المهنية للبناء والاخشاب بدسوق,مدينون متنوعون,بنك مصر,5000,
2022-01-03,24,65718372,,عاطف عبد النظير عبد الشافى عهده مكتب دار السلام بسوهاج,مدينون متنوعون,بنك مصر,2000,
2022-01-03,25,65718373,,مسعد صالح محمد عهده مكتب المنصورة 2,مدينون متنوعون,بنك مصر,10000,
2022-01-03,26,65718374,,محمد ابراهيم عوض زهران عهده مكتب زفتى,مدينون متنوعون,بنك مصر,2000,
2022-01-03,27,65718375,,السيد عبد المجيد محمد العماوى عهده مكتب كفر الشيخ,مدينون متنوعون,بنك مصر,1000,
