التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2022-01-18,1,,1300000064982,سحب بشيك المستفيد محمد شعبان,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,750,نعم
2022-02-15,2,,1300000064983,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,4000,نعم
2022-02-16,3,,000000004005,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,2230,نعم
2022-02-16,4,,T4871-4100,T4871-4100 تحصيل شيك رقم00000004005,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2022-02-16,5,,T4871-4100,T4871-4100 تحصيل شيك رقم00000004004,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2022-02-22,6,,400068901515,400068901515 إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,6120,نعم
2022-02-22,7,,400068901517,400068901517 إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,4050,نعم
2022-02-22,8,,T4871-800,T4871-800 تحصيل شيك رقم400068901515,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2022-02-22,9,,T4871-800,T4871-800 تحصيل شيك رقم400068901515,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2022-02-22,10,,T4871-900,T4871-900 تحصيل شيك رقم400068901517,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2022-02-22,11,,T4871-900,T4871-900 تحصيل شيك رقم400068901517,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2022-03-20,12,,T4871-3200,T4871-3200 إيداع نقدي,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,500,نعم
2022-03-20,14,,1300000064985,1300000064985 سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,1350,نعم
2022-03-20,15,,1300000064984,1300000064984 سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,2040,نعم
2022-03-20,16,,1300000064986,1300000064986 سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2022-03-24,17,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2022-04-17,18,,1300000064987,1300000064987 المستفيد أوليد فراج سليم محمود,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,1000,نعم
2022-04-28,19,,4454,000000004454 إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,11104,نعم
2022-04-28,20,,T5271-4400,T5271-4400 تحصيل شيك رقم000000004454,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2022-04-28,21,,T5271-4400,T5271-4400 تحصيل شيك رقم000000004454,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2022-06-23,22,,مصاريف,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2022-06-29,23,,مصاريف,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2022-08-24,24,,1300000064989,1300000064989 سحب بشيك المستفيد أحمد جابر حسين,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,7700,نعم
2022-08-24,25,,1300000064988,1300000064988 سحب بشيك المستفيد أحمد جابر,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2022-09-06,26,,U14437-3799,U14437-3799 طلب تحويل أموال كمليكم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,10170,نعم
2022-09-15,27,,1300000064990,1300000064990 سحب بشيك المستفيد كريم سيد جوده,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,3340,نعم
2022-09-25,28,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2022-12-25,29,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2022-12-29,30,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
