التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2021-01-12,1,,130000044587,سحب بشيك المستفيد محمد شعبان محمد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2021-03-11,2,,130000044588,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,750,نعم
2021-03-25,3,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-03-29,4,,130000044589,سحب بشيك المستفيد -  احمد سعيد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2021-05-25,5,,400068878435,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,7505.5,نعم
2021-05-25,6,,U14437-900,ر. تحصيل شيك رقم 400068878435,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-05-25,7,,400068878435,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-05-31,8,,130000044590,سحب بشيك المستفيد ياسر عزت السيد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,2500,نعم
2021-06-23,9,,130000044591,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,750,نعم
2021-06-23,10,,U16538-3800,إيداع نقدى محمود جمعة احمد,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,6240,نعم
2021-06-23,11,,U16538-3900,إيداع نقدى,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,8950,نعم
2021-06-23,13,,130000044593,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,8950,نعم
2021-06-24,14,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-06-30,15,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2021-07-08,16,,T4959-5900,إيداع نقدى وليد فراج سليم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,7440,نعم
2021-07-08,17,,130000044594,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,10630,نعم
2021-08-01,18,,T4871-8500,محمد خليل احمد,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,14000,نعم
2021-08-04,19,,3762,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,4216,نعم
2021-08-04,20,,3786,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,3868,نعم
2021-08-04,21,,U14437-7500,ر. تحصيل شيك رقم 000000003762,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-08-04,22,,3762,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-08-04,23,,U14437-7600,ر. تحصيل شيك رقم 000000003786,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-08-04,24,,3786,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-08-10,25,,130000044595,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,20000,نعم
2021-08-19,26,,400068886336,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,7505.5,نعم
2021-08-19,27,,T4871-3100,ر. تحصيل شيك رقم 400068886336,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-08-19,28,,400068886336,ة تحصيل شيك رقم T4871-3100,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-08-24,29,,1300000044596,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,2800,نعم
2021-08-25,30,,U14437-2500,المودع /سعيد محمود محمد,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,14000,نعم
2021-08-25,31,,1300000044597,حب بشيك المستفيد سعيد محمود محمد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,20000,نعم
2021-09-23,32,,1300000044598,سحب بشيك المستفيد محمود نجار,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,2500,نعم
2021-09-23,33,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2021-11-02,34,,400068893500,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,4050,نعم
2021-10-28,35,,U16538-3900,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-10-28,36,,400068893500,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
